Epoch,Data Loss,Total Loss
0,0.9740039,0.9576459
1,0.95298535,0.9208871
2,0.9332578,0.8855783
3,0.9148327,0.851683
4,0.89753973,0.81871086
5,0.8810177,0.7865107
6,0.8645399,0.75469005
7,0.847453,0.7227458
8,0.8299697,0.6908251
9,0.8124841,0.6593016
10,0.795265,0.62817514
11,0.77822393,0.597314
12,0.7612156,0.5667355
13,0.7442585,0.53654873
14,0.7274696,0.50691706
15,0.71106434,0.47810712
16,0.69509614,0.45032185
17,0.6796168,0.4236464
18,0.6648915,0.3984341
19,0.6509595,0.37496418
20,0.63792795,0.35346034
21,0.6256322,0.333989
22,0.6138472,0.31651065
23,0.6024376,0.30094483
24,0.5912682,0.2871799
25,0.58013666,0.27502888
26,0.5687626,0.26426476
27,0.5569033,0.25462005
28,0.54436624,0.2458139
29,0.5310349,0.2375598
30,0.5169517,0.2296121
31,0.5023729,0.22186604
32,0.48753032,0.21426135
33,0.472596,0.20677783
34,0.45772642,0.1994777
35,0.44323325,0.19255896
36,0.4290457,0.18609473
37,0.41521108,0.18019964
38,0.40189916,0.175054
39,0.3894533,0.17080025
40,0.3777483,0.16737446
41,0.36686146,0.16474925
42,0.35691002,0.16283092
43,0.3480224,0.1615003
44,0.34031928,0.16062844
45,0.33388317,0.16008684
46,0.32878324,0.15975665
47,0.32506377,0.15954475
48,0.3227166,0.15938406
49,0.3216767,0.15923482
50,0.32180664,0.15907979
51,0.32291076,0.15890972
52,0.32474568,0.15871651
53,0.32703507,0.15848787
54,0.3294912,0.15821087
55,0.33184037,0.15787695
56,0.3338502,0.157485
57,0.33534828,0.15704449
58,0.3362364,0.1565751
59,0.3364783,0.15610458
60,0.3360875,0.1556583
61,0.33511987,0.15525338
62,0.3336633,0.15489647
63,0.3318343,0.15458925
64,0.32976943,0.15433222
65,0.3276133,0.15412273
66,0.32551312,0.15395568
67,0.32361782,0.1538262
68,0.32205626,0.15372856
69,0.3209186,0.15365487
70,0.32025903,0.15359795
71,0.320092,0.15355234
72,0.32039273,0.15351404
73,0.32110035,0.15348029
74,0.32212543,0.15344858
75,0.32336006,0.15341583
76,0.3246859,0.153379
77,0.32598886,0.15333593
78,0.32716972,0.1532868
79,0.3281537,0.1532346
80,0.3288927,0.15318389
81,0.3293681,0.15313892
82,0.32958502,0.15310208
